,document_title,question_text,short_answer1,short_answer2,short_answer3,short_answer4,yes_no_answer1,yes_no_answer2,yes_no_answer3,yes_no_answer4
295,The Englishman who Went up a Hill but Came down a Mountain,locations for the film an englishman who went up a hill,"{'end_byte': 60739, 'end_token': 390, 'start_byte': 60605, 'start_token': 381}","{'end_byte': 60739, 'end_token': 390, 'start_byte': 60605, 'start_token': 381}","{'end_byte': 60628, 'end_token': 386, 'start_byte': 60605, 'start_token': 381}",,NONE,NONE,NONE,
296,The Peach Blossom Fan,where does hou safely hide after escaping jail,,,,,,,,
297,Chota Nagpur Division,when did bihar bifurcate from bengal and some parts of chota nagpur merged into bengal,"{'end_byte': 51913, 'end_token': 556, 'start_byte': 51909, 'start_token': 555}",,,,,,,
298,Mount Ruapehu,when was the last time mount ruapehu erupted,"{'end_byte': 76047, 'end_token': 1437, 'start_byte': 76007, 'start_token': 1427}","{'end_byte': 76047, 'end_token': 1437, 'start_byte': 76030, 'start_token': 1434}","{'end_byte': 63192, 'end_token': 221, 'start_byte': 63175, 'start_token': 218}","{'end_byte': 63192, 'end_token': 221, 'start_byte': 63175, 'start_token': 218}",NONE,NONE,NONE,NONE
299,Andhra Pradesh State Handloom Weavers Cooperative Society,the andhra pradesh state handloom weavers' cooperative society limited hyderabad telangana,,,,,,,,
300,Knocking on wood,where did expression knock on wood come from,,,,,,,,
301,Beauty and the Beast (2017 film),where was 2017 beauty and the beast filmed,"{'end_byte': 85433, 'end_token': 3129, 'start_byte': 85343, 'start_token': 3122}","{'end_byte': 85433, 'end_token': 3129, 'start_byte': 85343, 'start_token': 3122}","{'end_byte': 85433, 'end_token': 3129, 'start_byte': 85343, 'start_token': 3122}","{'end_byte': 85433, 'end_token': 3129, 'start_byte': 85407, 'start_token': 3125}",NONE,NONE,NONE,NONE
302,California Insurance Commissioner,what proposition made the insurance commissioner an elected position,"{'end_byte': 49360, 'end_token': 331, 'start_byte': 49345, 'start_token': 329}","{'end_byte': 49360, 'end_token': 331, 'start_byte': 49345, 'start_token': 329}","{'end_byte': 49360, 'end_token': 331, 'start_byte': 49345, 'start_token': 329}","{'end_byte': 49372, 'end_token': 333, 'start_byte': 49345, 'start_token': 329}",NONE,NONE,NONE,NONE
303,List of first overall NBA draft picks,who has the number one pick in nba draft,,,,,,,,
304,Game seven,where is the 7th game of the world series played,"{'end_byte': 42673, 'end_token': 124, 'start_byte': 42547, 'start_token': 111}","{'end_byte': 42673, 'end_token': 124, 'start_byte': 42530, 'start_token': 109}","{'end_byte': 42673, 'end_token': 124, 'start_byte': 42550, 'start_token': 112}","{'end_byte': 42673, 'end_token': 124, 'start_byte': 42547, 'start_token': 111}",NONE,NONE,NONE,NONE
305,Birth certificate,birth certificates are most often completed by the department,"{'end_byte': 91076, 'end_token': 3543, 'start_byte': 91038, 'start_token': 3536}","{'end_byte': 93993, 'end_token': 3823, 'start_byte': 93954, 'start_token': 3817}",,,NONE,NONE,,
306,Freedom of the seas,who did the united states not have problems with on the high seas,,,,,,,,
307,This Is the Way It Goes and Goes and Goes,juno this is the way it goes and goes and goes,,,,,,,,
308,Round Table Conferences (India),who attended all the three round table conferences,,,,,,,,
309,Valley of the Dolls,who is the valley of the dolls based on,"{'end_byte': 48571, 'end_token': 556, 'start_byte': 48559, 'start_token': 554}","{'end_byte': 48571, 'end_token': 556, 'start_byte': 48559, 'start_token': 554}","{'end_byte': 48571, 'end_token': 556, 'start_byte': 48559, 'start_token': 554}",,NONE,NONE,NONE,
310,Widget (beer),why is there a ball in guinness beer,"{'end_byte': 57871, 'end_token': 97, 'start_byte': 57775, 'start_token': 88}","{'end_byte': 57871, 'end_token': 97, 'start_byte': 57775, 'start_token': 88}",,,NONE,NONE,,
311,Transfer RNA,what is the function of trnas in protein synthesis,"{'end_byte': 51597, 'end_token': 207, 'start_byte': 51407, 'start_token': 192}","{'end_byte': 55007, 'end_token': 399, 'start_byte': 54928, 'start_token': 386}",,,NONE,NONE,,
312,Bobbie Brown,who is the girl in the once bitten twice shy video,,,,,,,,
313,Paul Hogan,who was the actor who played crocodile dundee,"{'end_byte': 44965, 'end_token': 194, 'start_byte': 44955, 'start_token': 192}","{'end_byte': 44965, 'end_token': 194, 'start_byte': 44955, 'start_token': 192}","{'end_byte': 44965, 'end_token': 194, 'start_byte': 44955, 'start_token': 192}","{'end_byte': 45130, 'end_token': 196, 'start_byte': 44955, 'start_token': 192}",NONE,NONE,NONE,NONE
314,Michelle (song),who was the song michelle by the beatles written for,,,,,,,,
315,Myofascial trigger point,where are trigger points located in the body,"{'end_byte': 25607, 'end_token': 149, 'start_byte': 25468, 'start_token': 143}","{'end_byte': 25607, 'end_token': 149, 'start_byte': 25468, 'start_token': 143}","{'end_byte': 42369, 'end_token': 1626, 'start_byte': 42362, 'start_token': 1625}","{'end_byte': 25607, 'end_token': 149, 'start_byte': 25443, 'start_token': 141}",NONE,NONE,NONE,NONE
316,Dye,in industry the ph of a solution used to dye cloth must be controlled,,,,,,,,
317,2007 ICC World Twenty20,who bowled the last over of the 2007 world twenty20 that india won,"{'end_byte': 49094, 'end_token': 251, 'start_byte': 49086, 'start_token': 250}",,,,,,,
318,Ambulatory care,ambulatory is a term used in health care to describe,"{'end_byte': 41914, 'end_token': 43, 'start_byte': 41694, 'start_token': 21}","{'end_byte': 41914, 'end_token': 43, 'start_byte': 41694, 'start_token': 21}",,,NONE,NONE,,
319,Canada at the Olympics,when are the olympics going to be in canada,,,,,,,,
320,Egypt Eyalet,who was the ottoman governor who led egypt in the years following the napoleonic wars,"{'end_byte': 86890, 'end_token': 775, 'start_byte': 86782, 'start_token': 770}","{'end_byte': 156542, 'end_token': 6956, 'start_byte': 156530, 'start_token': 6954}","{'end_byte': 156542, 'end_token': 6956, 'start_byte': 156530, 'start_token': 6954}",,NONE,NONE,NONE,
321,Foreign policy of the United States,what role does the president play in foreign affairs,"{'end_byte': 73586, 'end_token': 1064, 'start_byte': 73546, 'start_token': 1059}",,,,,,,
322,North America,what are the countries located in north america,,,,,,,,
323,Boundary (cricket),who hit 6 sixes in an over in test cricket,"{'end_byte': 72065, 'end_token': 1381, 'start_byte': 72053, 'start_token': 1379}",,,,,,,
324,History of the Philadelphia Eagles,how long has it been since eagles went to super bowl,"{'end_byte': 62250, 'end_token': 279, 'start_byte': 62246, 'start_token': 278}",,,,,,,
325,Goods and Services Tax (India),when does the 15 vat come into effect,,,,,,,,
326,Independence Day (United States),who did the united states win its independence from,"{'end_byte': 54308, 'end_token': 283, 'start_byte': 54236, 'start_token': 280}","{'end_byte': 54308, 'end_token': 283, 'start_byte': 54236, 'start_token': 280}","{'end_byte': 57677, 'end_token': 444, 'start_byte': 57664, 'start_token': 442}",,NONE,NONE,NONE,
327,America's Next Top Model (cycle 8),who won season 8 of america's next top model,"{'end_byte': 63663, 'end_token': 450, 'start_byte': 63550, 'start_token': 439}","{'end_byte': 63636, 'end_token': 446, 'start_byte': 63620, 'start_token': 444}","{'end_byte': 63636, 'end_token': 446, 'start_byte': 63620, 'start_token': 444}","{'end_byte': 63636, 'end_token': 446, 'start_byte': 63620, 'start_token': 444}",NONE,NONE,NONE,NONE
328,Binary star,the faster moving star in a binary is,,,,,,,,
329,Sam Rockwell,who plays justin hammer in iron man 2,,,,,,,,
330,Dance Champions,who got eliminated in dance champions 29 october 2017,,,,,,,,
331,Public holidays in the United Kingdom,day off in lieu of public holiday uk,,,,,,,,
332,Reserve Bank of India,how many branches of reserve bank of india in india,"{'end_byte': 100314, 'end_token': 2771, 'start_byte': 100276, 'start_token': 2765}",,,,,,,
333,History of scientific method,who was an early advocate for using scientific methods based on inductive reasoning,"{'end_byte': 56615, 'end_token': 220, 'start_byte': 56600, 'start_token': 218}",,,,,,,
334,Hilton Worldwide,how many hilton hotels are there in the uk,,,,,,,,
335,British Indian Association,the first political society started under british rule in india was,"{'end_byte': 44283, 'end_token': 199, 'start_byte': 44250, 'start_token': 195}",,,,,,,
336,Chromosomal crossover,when does crossing over occur and why is it important,"{'end_byte': 46125, 'end_token': 248, 'start_byte': 45971, 'start_token': 241}","{'end_byte': 46204, 'end_token': 253, 'start_byte': 45964, 'start_token': 240}",,,NONE,NONE,,
337,Immanuel Wallerstein,when did the modern world system approximately end,,,,,,,,
338,Tricyclic antidepressant,what is an example of a tricyclic antidepressant,"{'end_byte': 95538, 'end_token': 2570, 'start_byte': 95528, 'start_token': 2569}",,,,,,,
339,Bacterial cell structure,please give a brief description of the 7 major structures of a bacteria cell,,,,,,,,
340,Mark of the Year,who won mark and goal of the year 2017,"{'end_byte': 93294, 'end_token': 3251, 'start_byte': 93283, 'start_token': 3249}",,,,,,,
341,List of suspensions in the National Football League,who has been fined the most in the nfl,,,,,,,,
342,Lucky Charms,how many lucky charms marshmallows are in one box,,,,,,,,
343,Time in Australia,why are there different time zones in australia,,,,,,,,
344,Rising Star India (season 2),who will get ticket to finale in rising star 2,"{'end_byte': 412870, 'end_token': 7667, 'start_byte': 412855, 'start_token': 7665}","{'end_byte': 412870, 'end_token': 7667, 'start_byte': 412855, 'start_token': 7665}",,,NONE,NONE,,
345,San Siro,inter milan and ac milan share the same stadium,,,,,,,,
346,Thomas J. Watson,who said i think there is a world market for maybe five computers,,,,,,,,
347,Visa policy of the United Kingdom,list of countries that can enter uk without visa,,,,,,,,
348,Philadelphia Eagles,when's the last time philly won the superbowl,"{'end_byte': 64424, 'end_token': 384, 'start_byte': 64420, 'start_token': 383}","{'end_byte': 64424, 'end_token': 384, 'start_byte': 64420, 'start_token': 383}",,,NONE,NONE,,
349,Pop music,where does the term pop music come from,"{'end_byte': 145879, 'end_token': 989, 'start_byte': 145690, 'start_token': 975}","{'end_byte': 145771, 'end_token': 979, 'start_byte': 145764, 'start_token': 978}",,,NONE,NONE,,
350,Friday the 13th,where does the friday the 13th superstition come from,,,,,,,,
351,It's a Wonderful Life,what's written in the book at the end of it's a wonderful life,,,,,,,,
352,Kitty (song),the presidents of the united states of america - kitty,,,,,,,,
353,"Life, Liberty and the pursuit of Happiness",is the right to life liberty and the pursuit of happiness in the constitution,"{'end_byte': 63162, 'end_token': 1576, 'start_byte': 63037, 'start_token': 1565}",,,,,,,
354,Slave Trade Act 1807,who abolished slave trade in nigeria and in what year,,,,,,,,
355,Oath of office of the Vice President of the United States,who administers the oath of office to the vice president,,,,,,,,
356,Albatross (metaphor),the rime of the ancient mariner albatross symbolism,"{'end_byte': 58559, 'end_token': 269, 'start_byte': 58526, 'start_token': 262}",,,,,,,
357,Senate of Canada,what is the role of a canadian senator,,,,,,,,
358,Master-at-arms,where can a master at arms be stationed,,,,,,,,
359,Raghuvanshi,who became the king of ayodhya after ram,"{'end_byte': 47326, 'end_token': 447, 'start_byte': 47321, 'start_token': 446}","{'end_byte': 47326, 'end_token': 447, 'start_byte': 47321, 'start_token': 446}","{'end_byte': 47326, 'end_token': 447, 'start_byte': 47321, 'start_token': 446}",,NONE,NONE,NONE,
360,Yuvraj Singh,yuvraj singh man of the match in ipl,,,,,,,,
361,List of recurring characters in The Suite Life of Zack & Cody,sweet life of zack and cody crazy girl,,,,,,,,
362,A Head Full of Dreams,what is head to head in dream 11,,,,,,,,
363,Rennes,what is the most famous building in rennes,"{'end_byte': 118242, 'end_token': 3309, 'start_byte': 118221, 'start_token': 3306}","{'end_byte': 118414, 'end_token': 3322, 'start_byte': 118126, 'start_token': 3305}","{'end_byte': 118242, 'end_token': 3309, 'start_byte': 118126, 'start_token': 3305}",,NONE,NONE,NONE,
364,Competitive intelligence,differentiate competitor intelligence competitive intelligence and business intelligence,,,,,,,,
365,Treaty on the Functioning of the European Union,treaty on the functioning of the european union eur-lex,,,,,,,,
366,My Name Is Jack,song my name is jack and i live in the back,,,,,,,,
367,Evolution of the horse,when did equus first appear in fossil record,"{'end_byte': 68644, 'end_token': 791, 'start_byte': 68639, 'start_token': 790}","{'end_byte': 107977, 'end_token': 3832, 'start_byte': 107964, 'start_token': 3829}",,,NONE,NONE,,
368,Percy Jackson & the Olympians: The Lightning Thief,where was percy jackson and the olympians filmed,"{'end_byte': 85288, 'end_token': 2311, 'start_byte': 85279, 'start_token': 2310}",,,,,,,
369,United States men's national ice hockey team,how many medals has the american team won,,,,,,,,
370,List of amendments to the United States Constitution,when was the last amendment to the constitution passed,"{'end_byte': 79696, 'end_token': 2437, 'start_byte': 79685, 'start_token': 2433}","{'end_byte': 79696, 'end_token': 2437, 'start_byte': 79685, 'start_token': 2433}","{'end_byte': 79696, 'end_token': 2437, 'start_byte': 79685, 'start_token': 2433}",,NONE,NONE,NONE,
371,Chinese marriage,who continues to exist according to the zhou chinese,,,,,,,,
372,Remittance,sending money home to the native country is an example of,"{'end_byte': 57584, 'end_token': 74, 'start_byte': 57574, 'start_token': 73}","{'end_byte': 57584, 'end_token': 74, 'start_byte': 57574, 'start_token': 73}","{'end_byte': 57584, 'end_token': 74, 'start_byte': 57574, 'start_token': 73}","{'end_byte': 58208, 'end_token': 124, 'start_byte': 58117, 'start_token': 121}",NONE,NONE,NONE,NONE
373,List of National Basketball Association career scoring leaders,how many points did lebron james scored in his career,"{'end_byte': 69498, 'end_token': 671, 'start_byte': 69492, 'start_token': 670}","{'end_byte': 69498, 'end_token': 671, 'start_byte': 69492, 'start_token': 670}","{'end_byte': 69498, 'end_token': 671, 'start_byte': 69492, 'start_token': 670}",,NONE,NONE,NONE,
374,Foreign Account Tax Compliance Act,what is foreign account tax compliance act (fatca),"{'end_byte': 63977, 'end_token': 425, 'start_byte': 63148, 'start_token': 365}","{'end_byte': 63977, 'end_token': 425, 'start_byte': 63148, 'start_token': 365}","{'end_byte': 63977, 'end_token': 425, 'start_byte': 63148, 'start_token': 365}",,NONE,NONE,NONE,
375,Latin America–United States relations,united states forces intervened in latin american governments when,,,,,,,,
376,List of Prime Ministers of India by longevity,how many indian prime ministers were born in independent india,,,,,,,,
377,Since I Don't Have You,i dont have anything since i dont have you,,,,,,,,
378,The Perks of Being a Wallflower,who was charlie writing to in perks of being a wallflower movie,"{'end_byte': 48911, 'end_token': 524, 'start_byte': 48891, 'start_token': 521}","{'end_byte': 48911, 'end_token': 524, 'start_byte': 48891, 'start_token': 521}","{'end_byte': 48911, 'end_token': 524, 'start_byte': 48891, 'start_token': 521}","{'end_byte': 48911, 'end_token': 524, 'start_byte': 48891, 'start_token': 521}",NONE,NONE,NONE,NONE
379,Fiorello H. LaGuardia High School,how many students audition for laguardia high school,,,,,,,,
380,The Real Thing (story),what is henry james the real thing about,"{'end_byte': 57613, 'end_token': 258, 'start_byte': 57455, 'start_token': 232}",,,,,,,
381,2015 Australian Open – Men's Singles,who won the men's single title of australia open on 1 february 2015,"{'end_byte': 62083, 'end_token': 280, 'start_byte': 62075, 'start_token': 279}","{'end_byte': 55901, 'end_token': 46, 'start_byte': 55887, 'start_token': 44}","{'end_byte': 55901, 'end_token': 46, 'start_byte': 55887, 'start_token': 44}","{'end_byte': 55901, 'end_token': 46, 'start_byte': 55887, 'start_token': 44}",NONE,NONE,NONE,NONE
382,Greg Wise,who played mr. willoughby in sense and sensibility,"{'end_byte': 57628, 'end_token': 117, 'start_byte': 57608, 'start_token': 114}","{'end_byte': 57628, 'end_token': 117, 'start_byte': 57608, 'start_token': 114}","{'end_byte': 57628, 'end_token': 117, 'start_byte': 57608, 'start_token': 114}","{'end_byte': 57628, 'end_token': 117, 'start_byte': 57608, 'start_token': 114}",NONE,NONE,NONE,NONE
383,List of Star vs. the Forces of Evil episodes,when is star vs the forces of evil coming back 2018,"{'end_byte': 190632, 'end_token': 16965, 'start_byte': 190617, 'start_token': 16961}",,,,,,,
384,Soviet Union,when did the soviet union start and end,"{'end_byte': 174084, 'end_token': 1015, 'start_byte': 174034, 'start_token': 1013}","{'end_byte': 174084, 'end_token': 1015, 'start_byte': 174034, 'start_token': 1013}",,,NONE,NONE,,
385,Santa Claus,who is the character of santa claus based on,"{'end_byte': 58294, 'end_token': 179, 'start_byte': 58280, 'start_token': 177}","{'end_byte': 58435, 'end_token': 193, 'start_byte': 58211, 'start_token': 175}",,,NONE,NONE,,
386,Ving Rhames,who does the we have the meats voice,,,,,,,,
387,The Next Iron Chef,who wins the next iron chef super chefs,"{'end_byte': 145825, 'end_token': 9711, 'start_byte': 145808, 'start_token': 9709}",,,,,,,
388,Prostitution in Kolkata,how to reach red light area in kolkata,,,,,,,,
389,Anterior pituitary,where are the hormones of the anterior pituitary created,"{'end_byte': 65501, 'end_token': 494, 'start_byte': 65469, 'start_token': 486}","{'end_byte': 65501, 'end_token': 494, 'start_byte': 65469, 'start_token': 486}","{'end_byte': 65486, 'end_token': 489, 'start_byte': 65469, 'start_token': 486}",,NONE,NONE,NONE,
390,Immunoassay,what is the difference between an unknown sample and a control,,,,,,,,
391,The Vampire Diaries (season 7),is season 7 the last season of the vampire diaries,,,,,,,,
392,List of World Table Tennis Championships medalists,who has won table tennis national championship recently,,,,,,,,
393,My Three Sons,where are the stars of my three sons now,,,,,,,,
394,What Makes You Beautiful,where was one direction what makes you beautiful filmed,"{'end_byte': 191335, 'end_token': 3321, 'start_byte': 191317, 'start_token': 3318}","{'end_byte': 191335, 'end_token': 3321, 'start_byte': 191317, 'start_token': 3318}","{'end_byte': 191335, 'end_token': 3321, 'start_byte': 191317, 'start_token': 3318}","{'end_byte': 191345, 'end_token': 3322, 'start_byte': 191253, 'start_token': 3317}",NONE,NONE,NONE,NONE
395,Women's National Basketball Association,who got the best record in the wnba,,,,,,,,
396,Pertussis,when did they start vaccinating for whooping cough,"{'end_byte': 102218, 'end_token': 2709, 'start_byte': 102209, 'start_token': 2707}","{'end_byte': 59933, 'end_token': 698, 'start_byte': 59924, 'start_token': 696}","{'end_byte': 107630, 'end_token': 3111, 'start_byte': 107621, 'start_token': 3109}",,NONE,NONE,NONE,
397,1918 flu pandemic,what was the worst flu season in history,,,,,,,,
398,Majority Leader of the New York State Senate,who is the new york state senate majority leader,"{'end_byte': 45611, 'end_token': 550, 'start_byte': 45595, 'start_token': 547}","{'end_byte': 69837, 'end_token': 2743, 'start_byte': 69821, 'start_token': 2740}","{'end_byte': 45611, 'end_token': 550, 'start_byte': 45595, 'start_token': 547}","{'end_byte': 45611, 'end_token': 550, 'start_byte': 45595, 'start_token': 547}",NONE,NONE,NONE,NONE
399,Michelangelo,who created the pieta and also painted the ceiling of the sistine chapel,"{'end_byte': 48433, 'end_token': 322, 'start_byte': 48421, 'start_token': 321}","{'end_byte': 48433, 'end_token': 322, 'start_byte': 48421, 'start_token': 321}","{'end_byte': 48433, 'end_token': 322, 'start_byte': 48421, 'start_token': 321}",,NONE,NONE,NONE,
400,Core (optical fiber),the core of an optical fiber has a,,,,,,,,
401,The Facts of Life (TV series),the cast of the facts of life tv show,,,,,,,,
402,List of Boy Meets World characters,who played cory's older brother on boy meets world,"{'end_byte': 72366, 'end_token': 2028, 'start_byte': 72354, 'start_token': 2026}","{'end_byte': 72366, 'end_token': 2028, 'start_byte': 72354, 'start_token': 2026}","{'end_byte': 72366, 'end_token': 2028, 'start_byte': 72354, 'start_token': 2026}",,NONE,NONE,NONE,
403,Rockstar (Nickelback song),who sings i want to be a rockstar,"{'end_byte': 62793, 'end_token': 373, 'start_byte': 62668, 'start_token': 369}","{'end_byte': 56782, 'end_token': 37, 'start_byte': 56772, 'start_token': 36}","{'end_byte': 62793, 'end_token': 373, 'start_byte': 62668, 'start_token': 369}","{'end_byte': 62793, 'end_token': 373, 'start_byte': 62668, 'start_token': 369}",NONE,NONE,NONE,NONE
404,2017–18 Virginia Cavaliers men's basketball team,who did virginia cavaliers lose to in basketball this year,"{'end_byte': 71287, 'end_token': 1220, 'start_byte': 71283, 'start_token': 1219}","{'end_byte': 137136, 'end_token': 4175, 'start_byte': 137123, 'start_token': 4173}","{'end_byte': 137136, 'end_token': 4175, 'start_byte': 137123, 'start_token': 4173}","{'end_byte': 71287, 'end_token': 1220, 'start_byte': 71283, 'start_token': 1219}",NONE,NONE,NONE,NONE
405,List of Alabama Crimson Tide bowl games,how many times has alabama been to the rose bowl,,,,,,,,
406,George II of Great Britain,who was the king of england in 1756,"{'end_byte': 43574, 'end_token': 25, 'start_byte': 43565, 'start_token': 23}","{'end_byte': 51592, 'end_token': 358, 'start_byte': 51583, 'start_token': 356}","{'end_byte': 51592, 'end_token': 358, 'start_byte': 51583, 'start_token': 356}",,NONE,NONE,NONE,
407,Cinque Terre,where is cinque terre italy on a map,"{'end_byte': 56403, 'end_token': 63, 'start_byte': 56349, 'start_token': 60}",,,,,,,
408,RMS Titanic,what was the full name of the titanic,"{'end_byte': 134998, 'end_token': 76, 'start_byte': 134984, 'start_token': 74}","{'end_byte': 140603, 'end_token': 570, 'start_byte': 140589, 'start_token': 568}","{'end_byte': 140603, 'end_token': 570, 'start_byte': 140589, 'start_token': 568}","{'end_byte': 140603, 'end_token': 570, 'start_byte': 140589, 'start_token': 568}",NONE,NONE,NONE,NONE
409,Strange Case of Dr Jekyll and Mr Hyde,the strange case of jekyll and hyde characters,,,,,,,,
410,Tenth Amendment to the United States Constitution,to whom do the powers not given to the federal government by the constitution go,"{'end_byte': 68162, 'end_token': 436, 'start_byte': 68138, 'start_token': 431}","{'end_byte': 68162, 'end_token': 436, 'start_byte': 68138, 'start_token': 431}","{'end_byte': 68162, 'end_token': 436, 'start_byte': 68138, 'start_token': 431}",,NONE,NONE,NONE,
411,Boy Scouts of America,which president of the united states was a boy scout,"{'end_byte': 117827, 'end_token': 4416, 'start_byte': 117816, 'start_token': 4414}","{'end_byte': 161700, 'end_token': 7759, 'start_byte': 161689, 'start_token': 7757}","{'end_byte': 117827, 'end_token': 4416, 'start_byte': 117758, 'start_token': 4413}","{'end_byte': 117827, 'end_token': 4416, 'start_byte': 117816, 'start_token': 4414}",NONE,NONE,NONE,NONE
412,Orozco,where does the last name orozco originate from,"{'end_byte': 41053, 'end_token': 20, 'start_byte': 40952, 'start_token': 16}","{'end_byte': 41053, 'end_token': 20, 'start_byte': 40952, 'start_token': 16}","{'end_byte': 41053, 'end_token': 20, 'start_byte': 40952, 'start_token': 16}",,NONE,NONE,NONE,
413,Don't Have a Cow (That's So Raven),that's so raven don't have a cow episode,,,,,,,,
414,The Bronx,which river separates the bronx in new york city from manhattan island,"{'end_byte': 69072, 'end_token': 560, 'start_byte': 69060, 'start_token': 558}","{'end_byte': 69072, 'end_token': 560, 'start_byte': 69060, 'start_token': 558}","{'end_byte': 69072, 'end_token': 560, 'start_byte': 69006, 'start_token': 557}","{'end_byte': 69072, 'end_token': 560, 'start_byte': 69006, 'start_token': 557}",NONE,NONE,NONE,NONE
415,Stop and identify statutes,do you have to identify yourself to police in georgia,,,,,,,,
416,Allele frequency,what is the difference between genotype and allele frequencies,,,,,,,,
417,Climate of Ecuador,what is the average temperature in ecuador in january,,,,,,,,
418,Grey's Anatomy (season 3),derek and meredith get back together season 3,"{'end_byte': 99504, 'end_token': 4105, 'start_byte': 99486, 'start_token': 4101}",,,,,,,
419,Paschim Banga Gramin Bank,list of regional rural banks in west bengal,,,,,,,,
420,Red wolf,where does the red wolf live in the world,"{'end_byte': 60430, 'end_token': 257, 'start_byte': 60322, 'start_token': 253}","{'end_byte': 60430, 'end_token': 257, 'start_byte': 60404, 'start_token': 254}","{'end_byte': 60430, 'end_token': 257, 'start_byte': 60322, 'start_token': 253}",,NONE,NONE,NONE,
421,Merseyside derby,who has played in the most premier league derbies,"{'end_byte': 128177, 'end_token': 7211, 'start_byte': 128161, 'start_token': 7209}",,,,,,,
422,Sam Winchester,why did sam want dean to become a vampire,"{'end_byte': 84686, 'end_token': 3785, 'start_byte': 84656, 'start_token': 3778}",,,,,,,
423,The Way You Move,i like the way you move video cast,"{'end_byte': 66869, 'end_token': 737, 'start_byte': 66852, 'start_token': 735}","{'end_byte': 66869, 'end_token': 737, 'start_byte': 66852, 'start_token': 735}",,,NONE,NONE,,
424,2018 Commonwealth Games,is there horse riding in the commonwealth games,,,,,,,,
425,Escherichia coli,what is the full scientific name for the e. coli bacteria,"{'end_byte': 45888, 'end_token': 187, 'start_byte': 45872, 'start_token': 185}","{'end_byte': 45888, 'end_token': 187, 'start_byte': 45872, 'start_token': 185}","{'end_byte': 45888, 'end_token': 187, 'start_byte': 45872, 'start_token': 185}","{'end_byte': 45888, 'end_token': 187, 'start_byte': 45872, 'start_token': 185}",NONE,NONE,NONE,NONE
426,Rock and Roll Hall of Fame,when was the rock and roll hall of fame built in cleveland,"{'end_byte': 45471, 'end_token': 251, 'start_byte': 45457, 'start_token': 249}","{'end_byte': 44806, 'end_token': 165, 'start_byte': 44659, 'start_token': 157}","{'end_byte': 45471, 'end_token': 251, 'start_byte': 45467, 'start_token': 250}",,NONE,NONE,NONE,
427,Fire and Fury,what is the meaning of fire and fury,,,,,,,,
428,Chief Election Commissioner of India,who acts as the chairman of the election commission,"{'end_byte': 44983, 'end_token': 40, 'start_byte': 44966, 'start_token': 37}","{'end_byte': 56410, 'end_token': 464, 'start_byte': 56379, 'start_token': 460}","{'end_byte': 56410, 'end_token': 464, 'start_byte': 56383, 'start_token': 461}","{'end_byte': 44983, 'end_token': 40, 'start_byte': 44966, 'start_token': 37}",NONE,NONE,NONE,NONE
429,Doreen Mantle,who played mrs warboys in one foot in the grave,"{'end_byte': 55564, 'end_token': 62, 'start_byte': 55551, 'start_token': 60}","{'end_byte': 55564, 'end_token': 62, 'start_byte': 55551, 'start_token': 60}","{'end_byte': 55564, 'end_token': 62, 'start_byte': 55551, 'start_token': 60}","{'end_byte': 55564, 'end_token': 62, 'start_byte': 55551, 'start_token': 60}",NONE,NONE,NONE,NONE
430,Diary of a Wimpy Kid: Dog Days (film),where was the diary of a wimpy kid filmed,"{'end_byte': 72964, 'end_token': 1789, 'start_byte': 72955, 'start_token': 1788}",,,,,,,
431,Humble and Kind,who wrote the song always be humble and kind,"{'end_byte': 60233, 'end_token': 236, 'start_byte': 60221, 'start_token': 234}","{'end_byte': 60233, 'end_token': 236, 'start_byte': 60221, 'start_token': 234}","{'end_byte': 58157, 'end_token': 112, 'start_byte': 58145, 'start_token': 110}","{'end_byte': 60233, 'end_token': 236, 'start_byte': 60221, 'start_token': 234}",NONE,NONE,NONE,NONE
432,LM317,the lm317 is an example of an ic,,,,,,,,
433,List of backward compatible games for Xbox One,does xbox 360 games work on xbox one,,,,,,,,
434,Game of Thrones,what is the time setting of game of thrones,,,,,,,,
435,Arsenic and Old Lace (play),where does arsenic and old lace take place,"{'end_byte': 49633, 'end_token': 454, 'start_byte': 49611, 'start_token': 450}","{'end_byte': 49633, 'end_token': 454, 'start_byte': 49611, 'start_token': 450}","{'end_byte': 49633, 'end_token': 454, 'start_byte': 49611, 'start_token': 450}",,NONE,NONE,NONE,
436,The Secrets of the Immortal Nicholas Flamel,what is the second book in the alchemyst series,"{'end_byte': 79447, 'end_token': 2287, 'start_byte': 79435, 'start_token': 2285}","{'end_byte': 79447, 'end_token': 2287, 'start_byte': 79435, 'start_token': 2285}","{'end_byte': 79447, 'end_token': 2287, 'start_byte': 79435, 'start_token': 2285}",,NONE,NONE,NONE,
437,Table of divisors,whats the greatest common factor of 20 and 32,,,,,,,,
438,Nsit-Ubium,where is ikot okpudo located in akwa ibom state,,,,,,,,
439,Cat's in the Cradle,cats in the cradle and the man in the moon,,,,,,,,
440,List of Test cricket hat-tricks,bowler to take hattrick in both inning in test match,"{'end_byte': 47454, 'end_token': 257, 'start_byte': 47370, 'start_token': 253}","{'end_byte': 47454, 'end_token': 257, 'start_byte': 47370, 'start_token': 253}",,,NONE,NONE,,
441,Shooter (2007 film),where was the last scene in shooter filmed,,,,,,,,
442,Halls (cough drop),how often can you have a halls cough drop,,,,,,,,
